"YearStart","YearEnd","LocationAbbr","LocationDesc","Datasource","Class","Topic","Question","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Alt","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit ","Sample_Size","Total","Age(months)","Sex","Race/Ethnicity","GeoLocation","ClassID","TopicID","QuestionID","DataValueTypeID","LocationID","StratificationCategory1","Stratification1","StratificationCategoryId1","StratificationID1"
"2008","2008","CO","Colorado","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","14.1","14.1",,,"13.5","14.7","12,880",,"24 - 35",,,"    (38.843840757000464, -106.13361092099967)","OWS","OWS1","Q040","VALUE","08","Age (months)","24 - 35","AGEMO","AGEMO2435"
"2008","2008","CO","Colorado","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","15.3","15.3",,,"14.6","15.9","11,052",,"36 - 47",,,"    (38.843840757000464, -106.13361092099967)","OWS","OWS1","Q040","VALUE","08","Age (months)","36 - 47","AGEMO","AGEMO3647"
"2008","2008","CO","Colorado","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","15.1","15.1",,,"14.3","15.8","7,780",,"48 - 59",,,"    (38.843840757000464, -106.13361092099967)","OWS","OWS1","Q040","VALUE","08","Age (months)","48 - 59","AGEMO","AGEMO4859"
"2008","2008","CO","Colorado","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","17.9","17.9",,,"14.9","21.0","614",,,,"American Indian/Alaska Native","    (38.843840757000464, -106.13361092099967)","OWS","OWS1","Q040","VALUE","08","Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA"
"2008","2008","CO","Colorado","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","12.0","12.0",,,"9.1","14.9","500",,,,"Asian/Pacific Islander","    (38.843840757000464, -106.13361092099967)","OWS","OWS1","Q040","VALUE","08","Race/Ethnicity","Asian/Pacific Islander","RACE","RACEAPI"
"2008","2008","CO","Colorado","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","14.5","14.5",,,"13.9","15.0","15,562",,,"Female",,"    (38.843840757000464, -106.13361092099967)","OWS","OWS1","Q040","VALUE","08","Sex","Female","SEX","FEMALE"
"2008","2008","CO","Colorado","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","15.8","15.8",,,"15.3","16.3","19,568",,,,"Hispanic","    (38.843840757000464, -106.13361092099967)","OWS","OWS1","Q040","VALUE","08","Race/Ethnicity","Hispanic","RACE","RACEHIS"
"2008","2008","CO","Colorado","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","15.0","15.0",,,"14.5","15.6","16,150",,,"Male",,"    (38.843840757000464, -106.13361092099967)","OWS","OWS1","Q040","VALUE","08","Sex","Male","SEX","MALE"
"2008","2008","CO","Colorado","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","12.3","12.3",,,"11.0","13.5","2,551",,,,"Non-Hispanic Black","    (38.843840757000464, -106.13361092099967)","OWS","OWS1","Q040","VALUE","08","Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK"
"2008","2008","CO","Colorado","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","13.0","13.0",,,"12.3","13.7","8,479",,,,"Non-Hispanic White","    (38.843840757000464, -106.13361092099967)","OWS","OWS1","Q040","VALUE","08","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT"
